Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
154,214,174,139,42,72,28,0,19,15,10187197,1421749,28850362,DSC_5961.JPG,1,0.0833,2
154,214,174,139,42,72,28,0,19,15,10182226,1421900,28850362,DSC_5962.JPG,1,0.0833,2
154,214,174,139,42,72,28,0,18,15,10176719,1422910,28850261,DSC_5963.JPG,1,0.0833,2
155,215,175,139,43,72,28,0,18,15,10241433,1422680,28850261,DSC_5964.JPG,1,0.0833,2
154,214,174,139,43,72,28,0,18,15,10172271,1423316,28850261,DSC_5965.JPG,1,0.0833,2
153,214,173,139,42,72,28,0,19,15,10142479,1422728,28850363,DSC_5966.JPG,1,0.0833,2
153,213,172,139,41,71,28,0,19,16,10093654,1423337,28850363,DSC_5967.JPG,1,0.0833,2
155,215,174,139,43,72,28,0,18,15,10220538,1424057,28850261,DSC_5968.JPG,1,0.0833,2
154,214,174,139,42,72,28,0,18,15,10169555,1424218,28850261,DSC_5969.JPG,1,0.0833,2
154,214,173,139,42,72,28,0,18,15,10163355,1423688,28850262,DSC_5970.JPG,1,0.0833,2
154,215,174,139,43,72,28,0,18,15,10173025,1423959,28850261,DSC_5971.JPG,1,0.0833,2
154,214,173,139,42,72,28,0,18,15,10155951,1423725,28850261,DSC_5972.JPG,1,0.0833,2
154,215,174,139,43,72,28,0,18,15,10182509,1424018,28850261,DSC_5973.JPG,1,0.0833,2
154,214,173,139,42,72,28,0,18,15,10157275,1424536,28850261,DSC_5974.JPG,1,0.0833,2
153,214,173,139,42,72,28,0,18,15,10144946,1424832,28850262,DSC_5975.JPG,1,0.0833,2
153,214,173,139,42,72,28,0,18,16,10136375,1424554,28850262,DSC_5976.JPG,1,0.0833,2
154,214,174,139,43,72,28,0,18,15,10170500,1424024,28850261,DSC_5977.JPG,1,0.0833,2
157,211,170,134,37,72,25,0,19,17,10404856,1372199,25759461,DSC_5978.JPG,1,0.0833,2
160,213,174,135,39,73,25,0,18,16,10546837,1383496,25759359,DSC_5979.JPG,1,0.0833,2
159,215,175,136,40,73,25,0,18,15,10530245,1394952,25759358,DSC_5980.JPG,1,0.0833,2
159,214,175,137,40,73,25,0,18,15,10502409,1403767,25759359,DSC_5981.JPG,1,0.0833,2
158,214,175,138,40,73,25,0,18,15,10470435,1410100,25759359,DSC_5982.JPG,1,0.0833,2
159,214,176,138,40,73,25,0,17,15,10482559,1411764,25759257,DSC_5983.JPG,1,0.0833,2
159,214,176,138,40,73,25,0,17,15,10481106,1411324,25759258,DSC_5984.JPG,1,0.0833,2
158,215,175,138,41,73,26,0,18,15,10419006,1413788,26789659,DSC_5985.JPG,1,0.0833,2
158,215,176,138,41,73,26,0,18,15,10458112,1412840,26789659,DSC_5986.JPG,1,0.0833,2
159,215,176,138,41,73,26,0,18,15,10499763,1411465,26789659,DSC_5987.JPG,1,0.0833,2
159,215,176,138,41,73,26,0,18,15,10512035,1411453,26789659,DSC_5988.JPG,1,0.0833,2
159,215,176,138,41,73,26,0,18,15,10503862,1410946,26789659,DSC_5989.JPG,1,0.0833,2
159,214,176,138,40,73,25,0,17,15,10518094,1411754,25759257,DSC_5990.JPG,1,0.0833,2
158,215,176,139,41,73,26,0,17,15,10459291,1418146,26789558,DSC_5991.JPG,1,0.0833,2
158,215,176,139,41,73,26,0,17,15,10463277,1418229,26789558,DSC_5992.JPG,1,0.0833,2
158,215,176,138,41,73,26,0,17,15,10466771,1417698,26789558,DSC_5993.JPG,1,0.0833,2
158,215,176,139,41,73,26,0,17,15,10458405,1419021,26789558,DSC_5994.JPG,1,0.0833,2
158,215,176,138,42,73,26,0,18,15,10436948,1416650,26789659,DSC_5995.JPG,1,0.0833,2
159,216,177,138,42,73,26,0,18,15,10486150,1416087,26789659,DSC_5996.JPG,1,0.0833,2
158,215,176,138,42,73,26,0,18,15,10444440,1416393,26789659,DSC_5997.JPG,1,0.0833,2
166,214,174,129,36,74,22,0,18,16,10971679,1322640,22668456,DSC_5998.JPG,1,0.0833,2
167,215,175,129,37,75,22,0,18,15,11046456,1320579,22668455,DSC_5999.JPG,1,0.0833,2
167,215,175,129,37,75,22,0,18,15,11040412,1320831,22668455,DSC_6000.JPG,1,0.0833,2
167,215,175,129,37,75,21,0,18,15,11061915,1321498,21638154,DSC_6001.JPG,1,0.0833,2
167,214,175,129,36,74,21,0,18,15,11045441,1322363,21638155,DSC_6002.JPG,1,0.0833,2
167,214,175,129,36,74,21,0,18,15,11045097,1322961,21638155,DSC_6003.JPG,1,0.0833,2
167,214,175,129,36,74,21,0,18,15,11048356,1323751,21638155,DSC_6004.JPG,1,0.0833,2
181,222,187,129,38,79,18,0,15,12,11929788,1324418,18546945,DSC_6005.JPG,1,0.0833,2
183,224,190,129,39,80,17,0,15,12,12111904,1318915,17516644,DSC_6006.JPG,1,0.0833,2
184,224,190,129,39,80,17,0,15,11,12152565,1317614,17516644,DSC_6007.JPG,1,0.0833,2
179,221,186,130,38,78,18,0,15,13,11839413,1328195,18546946,DSC_6008.JPG,1,0.0833,2
176,220,184,130,38,77,19,0,16,13,11654283,1333801,19577348,DSC_6009.JPG,1,0.0833,2
175,219,183,131,37,77,19,0,16,14,11542540,1337451,19577349,DSC_6010.JPG,1,0.0833,2
174,218,182,131,37,76,20,0,16,14,11474570,1338554,20607650,DSC_6011.JPG,1,0.0833,2
173,217,181,131,37,76,20,0,16,14,11423097,1342471,20607650,DSC_6012.JPG,1,0.0833,2
172,216,180,131,36,76,20,0,16,14,11372708,1337311,20607651,DSC_6013.JPG,1,0.0833,2
172,217,181,131,36,76,20,0,16,14,11375864,1338391,20607651,DSC_6014.JPG,1,0.0833,2
173,217,181,131,37,76,20,0,16,14,11396026,1338987,20607650,DSC_6015.JPG,1,0.0833,2
173,218,181,131,37,76,20,0,16,14,11435380,1339184,20607650,DSC_6016.JPG,1,0.0833,2
179,221,186,130,38,78,19,0,15,13,11808063,1327509,19577247,DSC_6017.JPG,1,0.0833,2
167,214,173,128,36,74,22,0,18,15,11010760,1309802,22668456,DSC_6023.JPG,2,0.076,2
167,214,174,128,36,74,21,0,18,15,11046284,1307922,21638155,DSC_6024.JPG,2,0.076,2
168,215,174,127,37,75,21,0,18,15,11103704,1305100,21638154,DSC_6025.JPG,2,0.076,2
170,216,175,127,37,75,21,0,18,15,11201484,1301730,21638154,DSC_6026.JPG,2,0.076,2
169,216,175,127,37,75,21,0,18,15,11165663,1303831,21638154,DSC_6027.JPG,2,0.076,2
169,216,175,127,37,75,21,0,18,15,11194863,1300300,21638154,DSC_6028.JPG,2,0.076,2
184,226,193,131,42,80,18,0,14,11,12169838,1346298,18546843,DSC_6029.JPG,2,0.076,2
187,228,195,131,43,81,17,0,14,10,12332586,1343727,17516541,DSC_6030.JPG,2,0.076,2
183,226,191,131,42,80,18,0,15,11,12078691,1346015,18546944,DSC_6031.JPG,2,0.076,2
173,220,184,133,40,77,21,0,16,13,11448254,1360623,21637950,DSC_6032.JPG,2,0.076,2
173,220,183,133,40,77,21,0,16,13,11407123,1362619,21637950,DSC_6033.JPG,2,0.076,2
175,221,185,133,40,77,20,0,16,13,11588050,1357177,20607649,DSC_6034.JPG,2,0.076,2
179,224,189,132,41,79,19,0,15,12,11853121,1353423,19577246,DSC_6035.JPG,2,0.076,2
178,222,187,132,40,78,19,0,15,12,11747987,1354266,19577246,DSC_6036.JPG,2,0.076,2
172,218,182,133,39,76,21,0,16,14,11340264,1359628,21637951,DSC_6037.JPG,2,0.076,2
171,218,182,133,39,76,21,0,16,14,11309541,1362581,21637951,DSC_6038.JPG,2,0.076,2
173,220,183,133,40,77,21,0,16,13,11425831,1358521,21637950,DSC_6039.JPG,2,0.076,2
172,219,183,133,39,76,21,0,16,13,11383644,1359548,21637951,DSC_6040.JPG,2,0.076,2
169,217,179,133,38,75,22,0,17,14,11138840,1361905,22668353,DSC_6041.JPG,2,0.076,2
167,215,178,133,38,75,22,0,17,15,11000936,1364995,22668354,DSC_6042.JPG,2,0.076,2
171,222,186,138,44,77,23,0,16,12,11278953,1408334,23698551,DSC_6043.JPG,2,0.076,2
171,222,187,138,44,77,22,0,16,12,11307377,1408296,22668250,DSC_6044.JPG,2,0.076,2
172,223,187,138,44,77,22,0,16,12,11332777,1408237,22668250,DSC_6045.JPG,2,0.076,2
173,223,188,137,44,77,22,0,15,12,11418546,1404561,22668149,DSC_6046.JPG,2,0.076,2
177,223,189,135,42,78,20,0,15,12,11677778,1380399,20607547,DSC_6047.JPG,2,0.076,2
183,227,194,134,44,80,19,0,14,10,12076161,1373396,19577144,DSC_6048.JPG,2,0.076,2
185,228,195,134,44,81,18,0,14,10,12196493,1370509,18546842,DSC_6049.JPG,2,0.076,2
180,225,191,135,43,79,20,0,15,11,11867032,1378295,20607546,DSC_6050.JPG,2,0.076,2
174,221,186,135,41,77,21,0,15,13,11464789,1385012,21637849,DSC_6051.JPG,2,0.076,2
173,221,186,135,41,77,21,0,15,13,11426032,1386041,21637849,DSC_6052.JPG,2,0.076,2
174,221,186,135,41,77,21,0,15,13,11485400,1384464,21637849,DSC_6053.JPG,2,0.076,2
175,222,187,135,41,77,21,0,15,12,11551628,1383568,21637849,DSC_6054.JPG,2,0.076,2
177,223,189,135,41,78,20,0,15,12,11694695,1379150,20607547,DSC_6055.JPG,2,0.076,2
179,224,190,134,42,79,20,0,15,12,11801580,1376890,20607547,DSC_6056.JPG,2,0.076,2
175,222,187,135,41,77,20,0,15,12,11563021,1383847,20607548,DSC_6057.JPG,2,0.076,2
173,219,184,134,39,77,21,0,15,13,11405860,1375959,21637849,DSC_6058.JPG,2,0.076,2
172,219,184,134,39,76,21,0,15,14,11356726,1377033,21637850,DSC_6059.JPG,2,0.076,2
172,219,184,135,39,76,21,0,15,14,11368038,1378304,21637850,DSC_6060.JPG,2,0.076,2
173,219,184,135,39,76,21,0,15,13,11397710,1377395,21637850,DSC_6061.JPG,2,0.076,2
173,219,184,135,39,77,21,0,15,13,11397785,1378315,21637849,DSC_6062.JPG,2,0.076,2
