H,S,L,IndexHSL,Day,CPC
0.8888888888888884,0.323943661971831,0.861111111111111,0.8539046456124773,2,0.0833
0.8888888888888884,0.3098591549295775,0.861111111111111,0.8566742520952433,2,0.0833
0.8888888888888884,0.323943661971831,0.861111111111111,0.8554254315368821,2,0.0833
0.8888888888888884,0.323943661971831,0.861111111111111,0.8575789532108562,2,0.0833
0.8888888888888884,0.3098591549295775,0.861111111111111,0.8572181828273298,2,0.0833
0.8888888888888884,0.323943661971831,0.861111111111111,0.858034078925459,2,0.0833
0.8888888888888884,0.323943661971831,0.861111111111111,0.8543153688183382,2,0.0833
0.8888888888888884,0.323943661971831,0.861111111111111,0.8506632624743302,2,0.0833
0.8888888888888884,0.323943661971831,0.861111111111111,0.8557806516068158,2,0.0833
0.8888888888888884,0.323943661971831,0.861111111111111,0.8512349447743794,2,0.0833
